7zip 25.01-1.1
sysfsutils 2.1.1-2.2
telegram-desktop 6.0.2-1.1
texinfo 7.2-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-firacode-nerd 3.4.0-1
ttf-hack-nerd 3.4.0-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-1
ttf-opensans 3.003-1
ufw 0.36.2-5
unrar 1:7.1.10-1.1
unzip 6.0-23.1
upower 1.90.9-1.1
upscayl-bin 2.15.0-5
usb_modeswitch 2.6.2-1.1
usbutils 018-1.1
vesktop-bin 1.5.8-1
vi 1:070224-6
vulkan-radeon 1:25.2.1-3
waybar 0.14.0-1.1
wget 1.25.0-2.1
which 2.23-1.1
wireless-regdb 2025.07.10-1
wireplumber 0.5.10-1.1
wofi 1.5.1-1.1
wpa_supplicant 2:2.11-3.1
xdg-desktop-portal-hyprland 1.3.10-1.1
xdg-user-dirs 0.18-2.1
xf86-input-libinput 1.5.0-1.1
xf86-video-amdgpu 25.0.0-1.1
xfsprogs 6.15.0-1
xl2tpd 1.3.19-1.1
xone-dkms 0.4.3-1
xone-dongle-firmware 1.0.46.1-2
xorg-server 21.1.18-2.1
xorg-xdpyinfo 1.4.0-1.1
xorg-xinit 1.4.4-1.1
xorg-xinput 1.6.4-2.1
xorg-xkill 1.0.6-2.1
xorg-xrandr 1.5.3-1.1
yay 12.5.0-1
yazi 25.5.31-2.1
zoxide 0.9.8-2.1
